vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
7,1,1,1,3,1,7753,LI
52,7,11,19,13,17,226960,LI
47,6,8,21,10,16,184009,LI
44,5,6,13,10,15,156597,LI
41,4,5,5,10,14,127808,LI
38,5,7,7,11,13,129913,LI
35,5,6,6,10,12,105600,LI
32,4,9,22,10,11,157585,LI
28,3,6,19,10,10,116636,LI
25,2,4,4,9,9,68809,LI
8,1,2,2,5,2,13619,LI
55,4,13,13,15,20,408061,LI
52,3,7,7,15,19,386181,LI
49,2,9,37,13,18,250098,LI
46,1,4,4,13,17,170030,LI
98,2,9,10,19,31,605984,LI
96,1,8,39,19,30,624429,LI
53,8,12,22,18,16,318625,LI
49,7,13,25,18,15,304077,LI
46,7,14,26,16,14,276497,LI
40,6,10,18,14,12,192276,LI
30,5,6,14,9,8,101494,LI
27,4,7,20,8,7,95401,LI
24,3,4,12,7,6,68571,LI
24,3,5,13,8,5,72504,LI
18,2,3,8,6,4,39795,LI
12,2,2,7,4,3,21607,LI
9,1,1,1,4,2,9816,LI
6,1,1,1,3,1,6479,LI
58,6,15,18,16,19,254802,LI
55,5,5,6,15,18,169617,LI
52,4,11,37,15,17,273063,LI
44,3,9,35,15,15,195222,LI
41,2,6,27,15,14,152820,LI
38,1,1,1,15,13,43594,LI
39,2,2,2,13,12,54081,LI
36,2,5,25,12,11,111362,LI
33,1,1,1,12,10,33782,LI
41,1,1,1,10,12,36004,LI
38,1,3,3,12,11,153864,LI
34,1,2,2,10,10,74579,LI
29,1,1,1,8,9,32953,LI
26,1,3,3,6,8,44356,LI
23,1,2,2,6,7,29031,LI
21,1,3,3,6,6,28920,LI
18,1,2,2,6,5,17089,LI
15,1,1,1,6,4,12433,LI
56,7,11,14,17,18,263168,LI
53,7,12,17,17,17,280496,LI
49,7,11,16,17,16,213278,LI
46,6,10,13,17,15,183848,LI
43,5,12,21,17,14,279895,LI
40,4,10,19,16,13,233639,LI
38,5,13,25,14,12,263549,LI
34,4,11,20,12,11,189592,LI
29,3,8,17,11,9,136553,LI
24,2,5,8,9,8,82256,LI
14,1,3,3,7,4,29668,LI
51,6,15,23,21,19,454277,LI
48,5,20,32,21,18,461668,LI
45,4,15,24,20,17,372763,LI
34,3,5,8,14,13,131079,LI
31,2,3,6,12,12,96348,LI
28,1,1,1,11,11,26266,LI
55,8,7,8,12,17,70374,LI
52,7,3,3,12,16,40786,LI
